university_province,university,name
ZA-WC,Cape Peninsula University of Technology (CPUT),Athlone
ZA-WC,Cape Peninsula University of Technology (CPUT),Bellville
ZA-WC,Cape Peninsula University of Technology (CPUT),Cape Town
ZA-WC,Cape Peninsula University of Technology (CPUT),Granger Bay
ZA-WC,Cape Peninsula University of Technology (CPUT),Groote Schuur
ZA-WC,Cape Peninsula University of Technology (CPUT),Mowbray
ZA-WC,Cape Peninsula University of Technology (CPUT),Tygerberg
ZA-WC,Cape Peninsula University of Technology (CPUT),Wellington
ZA-WC,Cape Peninsula University of Technology (CPUT),Worcester
ZA-WC,Cape Peninsula University of Technology (CPUT),District Six
ZA-WC,Cape Peninsula University of Technology (CPUT),Optical Dispensing
ZA-WC,Cape Peninsula University of Technology (CPUT),Roeland Street
ZA-WC,Cape Peninsula University of Technology (CPUT),Media City
ZA-WC,Cape Peninsula University of Technology (CPUT),George
ZA-FS,Central University of Technology (CUT),Bloemfontein
ZA-FS,Central University of Technology (CUT),Welkom
ZA-NL,Durban University of Technology (DUT),Steve Biko
ZA-NL,Durban University of Technology (DUT),Ritson
ZA-NL,Durban University of Technology (DUT),City Campus
ZA-NL,Durban University of Technology (DUT),ML Sultan
ZA-NL,Durban University of Technology (DUT),Brickfield
ZA-NL,Durban University of Technology (DUT),Indumiso
ZA-NL,Durban University of Technology (DUT),Riverside
ZA-NL,Mangosuthu University of Technology (MUT),Main Campus
ZA-EC,Nelson Mandela University (NMU),2nd Avenue
ZA-WC,Nelson Mandela University (NMU),George
ZA-EC,Nelson Mandela University (NMU),Missionville
ZA-EC,Nelson Mandela University (NMU),North
ZA-EC,Nelson Mandela University (NMU),South
ZA-NW,North West University (NWU),Mafikeng
ZA-NW,North West University (NWU),Potchefstroom
ZA-GT,North West University (NWU),Vaal Triangle (Vanderbijl Park)
ZA-EC,Rhodes University (RU),Grahamstown
ZA-GT,Sefako Makgatho Health Sciences University (SMU),Main Campus
ZA-NC,Sol Plaatje University (SPU),Kimberley
ZA-WC,Stellenbosch University (SU),Stellenbosch
ZA-WC,Stellenbosch University (SU),Tygerberg
ZA-LP,Tshwane University of Technology (TUT),Polokwane
ZA-MP,Tshwane University of Technology (TUT),eMalahleni
ZA-GT,Tshwane University of Technology (TUT),Ga-Rankuwa
ZA-MP,Tshwane University of Technology (TUT),Mbombela
ZA-GT,Tshwane University of Technology (TUT),Pretoria West
ZA-GT,Tshwane University of Technology (TUT),Soshanguve
ZA-GT,Tshwane University of Technology (TUT),Arts
ZA-GT,Tshwane University of Technology (TUT),Arcadia
ZA-FS,UNISA,Bloemfontein
ZA-NL,UNISA,Durban
ZA-EC,UNISA,East London
ZA-GT,UNISA,Ekurhuleni
ZA-WC,UNISA,George
ZA-LP,UNISA,Giyani
ZA-GT,UNISA,Johannesburg
ZA-NC,UNISA,Kimberley
ZA-FS,UNISA,Kroonstad
ZA-NW,UNISA,Mafikeng
ZA-LP,UNISA,Makhado
ZA-MP,UNISA,Mbombela
ZA-MP,UNISA,Middelburg
ZA-EC,UNISA,Mthatha
ZA-NL,UNISA,Newcastle
ZA-WC,UNISA,Parow
ZA-NL,UNISA,Pietermaritzburg
ZA-LP,UNISA,Polokwane
ZA-EC,UNISA,Port Elizabeth
